formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull,N_excess,band_gap,electride,full_dft_e_hull
Ca5P3_s021,Ca5P3,0.0,24.271368711791368,22.783124015163736,24.18767494014632,0.0,193,-4.324450969696045,-0.2295244336128235,-4.302358878125,-0.2010121937499995,1.0,0.0,True,0.0
Li7N2_s005,Li7N2,24.56011110566328,23.774304143939915,0.0,47.1542473862949,0.0,166,-3.6664742363823786,0.0198915269639754,-3.6681756803703705,-0.0050878974074075,1.0,0.0,True,0.0
Ba2P1_s001,Ba2P1,63.23360426152521,58.28417645183782,57.90862135309249,62.05875205340813,0.0,166,-3.895776112874349,0.0237559676170344,-3.9066333822222226,-0.0045425963888892,1.0,0.0,True,0.0
Y9N8_s013,Y9N8,0.0,24.687663989857107,24.74137761707956,23.648628182098783,25.525021737933063,148,-8.932314405254289,-0.0005191167195626,-8.969981950196079,-0.0358786000000019,3.0,0.0,True,0.0
Y8P7_s013,Y8P7,0.0,0.0,21.36391410620993,0.0,20.545643344096018,65,-7.50478261311849,-0.0161341985066734,-7.501784676333333,-0.0095508327777764,3.0,0.0,True,0.0
Ba2P1_s040,Ba2P1,60.6105356338397,57.981837344842326,57.45025404079266,59.45945130214877,62.0363765512251,160,-3.895776536729601,0.0237555437617826,-3.905318835555556,-0.0032280497222223,1.0,0.0,True,0.0013145466666664163
Ba2P1_s038,Ba2P1,19.583857675561685,57.48736937844806,57.12683463170919,59.291488316714826,61.55439401560552,156,-3.895776112874349,0.0237559676170344,-3.904358034444445,-0.002267248611111,1.0,0.0,True,0.0022753477777781583
Ba2P1_s025,Ba2P1,58.2338577476799,58.25904497686308,57.35505957946009,59.39109286351078,0.0,164,-3.895776112874349,0.0237559676170344,-3.90355977,-0.0014689841666664,1.0,0.0,True,0.003073612222222799
Ba2P1_s003,Ba2P1,59.356727406790725,56.31838108789791,56.220962396932194,54.10002209020588,59.8044843999983,36,-3.895776430765787,0.0237556497255959,-3.903181268333333,-0.0010904824999995,1.0,0.0,True,0.003452113888889663
Y8P7_s004,Y8P7,0.0,21.64202507846117,20.68039993488227,0.0,20.67872870592228,47,-7.501874796549479,-0.0132263819376623,-7.498158589333333,-0.0059247457777766,3.0,0.0,True,0.003626086999999778
Li7N1_s007,Li7N1,0.0,14.566412122479564,27.510136485967703,10.527704727189125,25.28768193606344,148,-2.859121322631836,0.0480265617370605,-2.8927528904166664,0.002887741666667,4.0,0.0,True,0.005749683958333307
Rb8O3_s018,Rb8O3,47.29775665777497,48.88027371316921,44.15951152938149,49.86298930581042,50.1185290235692,166,-2.8237457275390625,-0.0042830033735796,-2.812048186060606,0.0062007588484851,2.0,0.1644,True,0.006200758848485144
