formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull,N_excess,band_gap,electride,full_dft_e_hull
K6B1O4_s013,K6B1O4,0.0,59.3917446561804,61.63235812421263,57.75587257273094,0.0,143,-4.4474709250710225,-0.0419316026899547,-4.4314855245454545,-0.025114858454545,1.0,0.0,True,0.0
Rb4Al3P4_s008,Rb4Al3P4,48.63282178726339,48.29148921174639,43.57578999515203,48.99155603099551,0.0,111,-3.893904599276456,-0.1666848153779003,-3.8089913545454546,-0.064293866060606,1.0,0.0,True,0.0
Cs4Al3P4_s006,Cs4Al3P4,47.45835840104743,47.12960056018604,47.12960056018604,46.93575168560846,0.0,111,-3.858796553178267,-0.0863101048903036,-3.787771435454545,-0.0037435748484844,1.0,0.0,True,0.0
Cs2Al2S3_s013,Cs2Al2S3,0.0,27.306772798989087,27.335012112774063,27.775356341188942,27.09596350569825,44,-4.128667286464146,-0.1204089134458508,-4.161002672857143,-0.148112326984128,2.0,2.0418999999999996,True,0.0
Cs4B1O3_s028,Cs4B1O3,56.33199121518372,59.30514623710857,60.04805270024589,25.23152857087045,0.0,11,-4.747730731964111,-0.0083286836743354,-4.75134569625,-0.0017697453663787,1.0,0.0,True,0.0
Rb6Si1P3_s053,Rb6Si1P3,45.85669428446187,48.049623830506526,27.663452841689708,29.89941396740076,15.097765311628692,11,-3.03012752532959,-0.0778376102447513,-3.031890662,-0.0525353736249996,1.0,0.0,True,0.0
Cs6Al2S5_s013,Cs6Al2S5,0.0,22.43605118585469,22.43605118585469,22.43605118585469,0.0,8,-3.609312497652494,-0.0966320975213985,-3.634221698076923,-0.1189165872222215,2.0,1.8147000000000002,True,0.0
Ca7Al1P5_s007,Ca7Al1P5,16.62822484746094,24.07284105128921,23.880344870163302,25.208893370276424,0.0,6,-4.387177100548377,-0.064853156576965,-4.340809056153846,-0.0098863828402366,2.0,0.0,True,0.0
Rb4Al3P4_s021,Rb4Al3P4,48.86904655874257,48.53662598997053,43.78807975389512,49.19088468784916,0.0,121,-3.893903905695135,-0.1666841217965791,-3.808849351363636,-0.0641518628787878,1.0,0.0,True,0.00014200318181911697
Rb4Al4P5_s023,Rb4Al4P5,15.63146498150821,21.15018224720723,14.59592812555024,20.768153294104444,0.0,8,-4.039498549241286,-0.0875189610016655,-4.018400417307692,-0.0514700255128204,1.0,0.0,True,0.002932476538461515
Cs2Al2S3_s011,Cs2Al2S3,0.0,29.47893056475619,28.73251371284676,28.82490048094402,30.11427942412537,59,-4.1108406611851285,-0.1025822881668334,-4.1515203157142855,-0.1386299698412703,2.0,2.0563000000000002,True,0.00948235714285861
Cs2Al2S3_s039,Cs2Al2S3,0.0,20.795906184105046,20.986192289316417,20.578758269658746,21.53012896985983,8,-4.097607476370675,-0.0893491033523803,-4.147248850714286,-0.1343585048412707,2.0,2.3161000000000005,True,0.01375382214285814
Cs7Ge1S5_s006,Cs7Ge1S5,0.0,59.124433805002376,60.43338755068534,58.16033088059308,0.0,5,-3.3778695326585035,-0.0583095458837661,-3.308952328846154,0.0179462915144226,1.0,0.0,True,0.01794629151442262
Cs6Al1S4_s001,Cs6Al1S4,55.87166515566657,58.29239642072045,59.09470603736915,55.81468595483708,0.0,8,-3.372518366033381,-0.0963638165984495,-3.3294142309090913,-0.0515929822222225,1.0,,True,0.018675910227270887
Cs4B1O3_s003,Cs4B1O3,0.0,66.62894738240882,66.9319709063516,58.77017309368817,0.0,38,-4.7492876052856445,-0.0098855569958686,-4.730136821875,0.0194391290086208,1.0,0.0,True,0.02120887437499963
Cs2Al2S3_s003,Cs2Al2S3,0.0,31.395418115603302,31.654402096014007,32.25591327632274,31.51770063538624,44,-4.11154910496303,-0.1032907319447353,-4.139770795714286,-0.1268804498412707,2.0,2.1209999999999996,True,0.021231877142858124
Cs6Si1P3_s050,Cs6Si1P3,38.07909203458578,43.1503137324857,28.456066674850938,28.24309677609576,0.0,11,-2.98459529876709,0.0052263200283051,-2.9914450395,0.0227878831896548,1.0,0.0,True,0.022787883189654856
Ca7Al2P6_s005,Ca7Al2P6,16.842322458138437,21.11401975605098,21.11401975605098,21.538329399057822,0.0,6,-4.586363728841146,-0.0532691955566404,-4.515087777333333,0.0245194353333335,2.0,0.0,True,0.024519435333332673
Cs1B4N4_s013,Cs1B4N4,0.0,19.826084770418724,22.660137997966423,63.85461926977979,0.0,3,-7.923706902398004,-0.0224700570106515,-7.885176323333334,0.0266002757854391,1.0,0.0,True,0.02660027578543911
Li10B1N4_s004,Li10B1N4,0.0,30.748284896586156,29.682178022229262,34.489728480519766,0.0,12,-4.45821787516276,0.0363578796386718,-4.446362552,0.0269288754444438,1.0,0.0,True,0.02692887544444389
Rb4B1O3_s046,Rb4B1O3,0.0,78.33625119237901,80.37392393445866,76.8133141534134,0.0,160,-4.65200138092041,0.0138962003919811,-4.64252268125,0.0275360085833336,1.0,0.0,True,0.027536008583332716
Cs9Si1P4_s013,Cs9Si1P4,0.0,22.7365330260675,19.44230342783983,32.18412298856478,23.14523599937745,6,-2.7409144810267856,0.0138206340017772,-2.7572531021428572,0.029139162623152,1.0,0.0,True,0.02913916262315208
Cs4B1P2_s035,Cs4B1P2,56.84691179762091,63.14130534884044,63.891295646342286,63.889259610075314,0.0,12,-3.3012095860072543,0.0248080577169145,-3.312033397857143,0.0326741367241374,1.0,0.0,True,0.03267413672413788
Rb6Si1P3_s024,Rb6Si1P3,51.58605310410408,54.8064370699867,35.184264652320664,53.45359570725115,9.08505356369091,8,-3.0095373153686524,-0.0572474002838139,-2.9991368345,-0.0197815461249999,1.0,0.0,True,0.03275382750000011
Cs8Al1S5_s023,Cs8Al1S5,0.0,37.75236197148526,37.75236197148526,35.433878986441535,0.0,8,-3.247445787702288,-0.0445016206256925,-3.2250466753571425,-0.020732336388888,1.0,0.0,True,0.03447893624999887
Cs3Al2S4_s001,Cs3Al2S4,0.0,43.99838580109984,43.77463105363403,48.64298332538407,0.0,65,-4.048723432752821,-0.1146633330686586,-3.9888962472222222,-0.05099687345679,1.0,0.0,True,0.0348873284259259
Cs5Si1S4_s001,Cs5Si1S4,51.96053327891873,51.45829950259335,52.05365767615946,51.091634090860495,0.0,82,-3.691534423828125,-0.0267298936843864,-3.6252956715,0.0362557850000002,1.0,,True,0.03625578499999982
Rb7Al1P3_s011,Rb7Al1P3,50.27650876944908,50.77603459972815,34.03994562423466,50.03222081262615,0.0,8,-2.6800771193070845,-0.0272600723035409,-2.662285223181818,0.0205054199242424,1.0,0.0,True,0.04193670861111132
Cs7Ge1S5_s017,Cs7Ge1S5,20.20201298920661,22.045804674505533,9.518144473068002,20.74804923149316,0.0,8,-3.3220587510329027,-0.0024987642581653,-3.2820911692307693,0.0448074511298073,1.0,0.0,True,0.04480745112980733
Cs4Al1S3_s008,Cs4Al1S3,0.0,52.998534230918615,52.998534230918615,41.99387013475259,0.0,44,-3.4951560497283936,-0.0908833311663732,-3.457410538125,-0.0509521974305542,1.0,0.0,True,0.04566752968749821
Ca4Al1P3_s019,Ca4Al1P3,0.0,49.22108839297111,48.819248478594254,49.516237221625175,48.96268395867033,9,-4.378620147705078,-0.003280309530405,-4.3418310496875,0.0413517475240379,2.0,0.0,True,0.04670687156249542
Cs2Ge1O2_s004,Cs2Ge1O2,0.0,42.787118812958894,42.787118812958894,43.60456681231779,42.73417694993421,12,-4.670903015136719,-0.0011557769775398,-4.640725087,0.0481103335999995,2.0,2.0158,True,0.0481103335999995
Rb9Si1P4_s023,Rb9Si1P4,0.0,24.229874290036538,15.35369562141447,37.47242484748188,0.0,8,-2.7870614188058034,-0.0401254835582918,-2.7625501510714288,0.0138372078273807,1.0,0.0,True,0.051362474702380645
Rb5Al2P3_s059,Rb5Al2P3,0.0,27.469068640954752,25.82167235520497,28.645780273633164,0.0,8,-3.194804000854492,-0.0388676802317302,-3.1692886885,0.0100896840833333,2.0,0.3368000000000002,True,0.05723851919444467
Rb4Al2P3_s054,Rb4Al2P3,0.0,48.32947431757824,44.0952182461611,52.03655911284331,41.69849416348863,8,-3.4534859127468533,-0.0509191795631691,-3.4148921705555555,0.0088022353703705,1.0,0.0,True,0.061189829938272045
Rb4Al2P3_s009,Rb4Al2P3,0.0,48.30802153594923,44.05108718175352,52.02118939712852,41.83246760215017,12,-3.4473669264051647,-0.0448001932214805,-3.4148475383333334,0.0088468675925925,1.0,0.0,True,0.06123446216049411
Rb5Al2P3_s001,Rb5Al2P3,0.0,37.368993118839725,33.341749809272834,34.095390880940066,0.0,6,-3.2016525268554688,-0.045716206232707,-3.16345525,0.0159231225833331,2.0,0.0,True,0.06307195769444451
Cs2Al1S2_s003,Cs2Al1S2,0.0,49.519197068665314,50.36643545711375,49.2041902545823,51.3388942248401,72,-3.818772888183594,-0.1326401975419786,-3.7548308785,-0.0653709353888891,1.0,0.0,True,0.06376416075000124
Cs2Al1S2_s014,Cs2Al1S2,0.0,73.50814000277188,74.45856821175106,73.92309838229849,0.0,132,-3.775891876220703,-0.089759185579088,-3.754017041,-0.0645570978888887,1.0,0.0,True,0.06457799825000166
